YearsExperience,Salary
1.3,46205.0
4.5,61111.0
1.5,37731.0
8.7,109431.0
6.0,93940.0
7.1,98273.0
4.0,55794.0
3.0,60150.0
2.2,39891.0
1.5,37731.0
1.5,37731.0
3.9,63218.0
8.7,109431.0
8.7,109431.0
7.9,101302.0
5.3,83088.0
1.5,37731.0
10.5,121872.0
4.1,57081.0
1.5,37731.0
4.5,61111.0
1.5,37731.0
10.5,121872.0
2.2,39891.0
4.0,55794.0
3.0,60150.0
1.3,46205.0
9.0,105582.0
3.0,60150.0
2.0,43525.0
8.7,109431.0
9.0,105582.0
7.9,101302.0
3.2,54445.0
2.0,43525.0
5.3,83088.0
4.1,57081.0
5.3,83088.0
9.0,105582.0
10.5,121872.0
5.3,83088.0
4.0,55794.0
5.1,66029.0
7.1,98273.0
3.7,57189.0
4.9,67938.0
4.5,61111.0
3.2,54445.0
5.1,66029.0
8.7,109431.0
10.3,122391.0
4.1,57081.0
3.7,57189.0
3.0,60150.0
3.2,54445.0
5.3,83088.0
1.3,46205.0
4.9,67938.0
9.6,112635.0
4.0,55794.0
1.3,46205.0
2.2,39891.0
4.1,57081.0
1.3,46205.0
6.0,93940.0
7.9,101302.0
3.0,60150.0
7.9,101302.0
8.7,109431.0
5.9,81363.0
7.1,98273.0
5.1,66029.0
3.7,57189.0
4.1,57081.0
1.3,46205.0
1.5,37731.0
4.5,61111.0
2.0,43525.0
5.1,66029.0
1.5,37731.0
4.0,55794.0
6.0,93940.0
8.7,109431.0
3.2,54445.0
3.9,63218.0
4.9,67938.0
4.9,67938.0
7.1,98273.0
9.5,116969.0
7.1,98273.0
9.0,105582.0
10.5,121872.0
3.0,60150.0
8.2,113812.0
5.9,81363.0
2.9,56642.0
4.0,55794.0
1.1,39343.0
10.3,122391.0
4.0,55794.0
4.1,57081.0
10.5,121872.0
6.0,93940.0
4.9,67938.0
5.3,83088.0
10.3,122391.0
4.0,55794.0
5.1,66029.0
2.0,43525.0
7.1,98273.0
8.7,109431.0
7.9,101302.0
2.0,43525.0
4.9,67938.0
9.6,112635.0
7.1,98273.0
3.0,60150.0
4.0,55794.0
3.2,54445.0
2.0,43525.0
10.5,121872.0
5.3,83088.0
4.1,57081.0
1.5,37731.0
1.3,46205.0
4.5,61111.0
9.0,105582.0
4.5,61111.0
3.2,54445.0
1.1,39343.0
6.0,93940.0
1.3,46205.0
5.3,83088.0
10.5,121872.0
1.1,39343.0
7.1,98273.0
5.9,81363.0
3.2,54445.0
9.6,112635.0
5.9,81363.0
10.5,121872.0
8.2,113812.0
7.9,101302.0
5.9,81363.0
4.0,55794.0
6.8,91738.0
6.0,93940.0
9.6,112635.0
8.7,109431.0
1.3,46205.0
6.8,91738.0
8.7,109431.0
9.5,116969.0
5.3,83088.0
3.9,63218.0
3.9,63218.0
2.2,39891.0
3.9,63218.0
9.6,112635.0
1.5,37731.0
3.2,54445.0
8.2,113812.0
1.5,37731.0
4.9,67938.0
7.1,98273.0
4.1,57081.0
4.0,55794.0
7.9,101302.0
8.7,109431.0
9.0,105582.0
3.2,54445.0
5.3,83088.0
4.0,55794.0
5.1,66029.0
9.5,116969.0
5.3,83088.0
3.9,63218.0
2.2,39891.0
4.1,57081.0
9.6,112635.0
5.1,66029.0
4.9,67938.0
3.9,63218.0
9.5,116969.0
4.5,61111.0
7.9,101302.0
9.0,105582.0
9.5,116969.0
3.9,63218.0
3.7,57189.0
2.2,39891.0
6.0,93940.0
7.1,98273.0
3.2,54445.0
4.0,55794.0
4.9,67938.0
10.5,121872.0
4.0,55794.0
4.5,61111.0
8.2,113812.0
9.5,116969.0
4.0,55794.0
2.2,39891.0
1.5,37731.0
9.0,105582.0
2.2,39891.0
4.1,57081.0
4.9,67938.0
3.2,54445.0
5.3,83088.0
6.0,93940.0
10.3,122391.0
4.5,61111.0
4.9,67938.0
4.9,67938.0
5.3,83088.0
3.9,63218.0
1.3,46205.0
5.1,66029.0
10.5,121872.0
3.2,54445.0
4.0,55794.0
1.5,37731.0
4.9,67938.0
9.6,112635.0
2.0,43525.0
1.1,39343.0
9.6,112635.0
3.0,60150.0
7.9,101302.0
10.5,121872.0
9.6,112635.0
7.9,101302.0
5.9,81363.0
7.9,101302.0
3.2,54445.0
10.3,122391.0
2.0,43525.0
5.9,81363.0
9.5,116969.0
8.7,109431.0
5.3,83088.0
3.0,60150.0
2.9,56642.0
3.9,63218.0
5.9,81363.0
9.5,116969.0
10.5,121872.0
4.5,61111.0
4.9,67938.0
5.1,66029.0
5.3,83088.0
3.2,54445.0
2.9,56642.0
6.0,93940.0
8.2,113812.0
5.1,66029.0
1.1,39343.0
9.6,112635.0
6.8,91738.0
3.9,63218.0
2.2,39891.0
2.2,39891.0
3.2,54445.0
1.1,39343.0
1.1,39343.0
4.5,61111.0
2.0,43525.0
9.0,105582.0
8.2,113812.0
4.0,55794.0
10.5,121872.0
4.5,61111.0
6.0,93940.0
2.2,39891.0
3.2,54445.0
6.0,93940.0
7.9,101302.0
10.3,122391.0
2.9,56642.0
4.1,57081.0
10.3,122391.0
8.7,109431.0
6.8,91738.0
4.9,67938.0
8.7,109431.0
9.6,112635.0
6.0,93940.0
8.7,109431.0
10.5,121872.0
2.9,56642.0
3.2,54445.0
3.2,54445.0
10.3,122391.0
3.2,54445.0
2.9,56642.0
2.0,43525.0
3.0,60150.0
3.2,54445.0
1.5,37731.0
3.2,54445.0
3.9,63218.0
9.6,112635.0
9.0,105582.0
6.0,93940.0
1.1,39343.0
7.1,98273.0
10.5,121872.0
9.0,105582.0
8.7,109431.0
8.7,109431.0
5.9,81363.0
8.7,109431.0
6.0,93940.0
1.1,39343.0
5.9,81363.0
2.9,56642.0
5.1,66029.0
10.3,122391.0
7.1,98273.0
9.6,112635.0
6.0,93940.0
1.3,46205.0
3.9,63218.0
4.5,61111.0
3.2,54445.0
6.8,91738.0
3.0,60150.0
2.2,39891.0
6.8,91738.0
4.9,67938.0
7.9,101302.0
9.0,105582.0
8.7,109431.0
4.5,61111.0
4.1,57081.0
5.9,81363.0
1.3,46205.0
6.0,93940.0
4.0,55794.0
6.8,91738.0
4.1,57081.0
3.0,60150.0
4.9,67938.0
9.5,116969.0
3.0,60150.0
9.6,112635.0
8.7,109431.0
5.9,81363.0
2.2,39891.0
2.0,43525.0
4.1,57081.0
1.1,39343.0
1.5,37731.0
4.0,55794.0
3.9,63218.0
3.9,63218.0
1.5,37731.0
9.0,105582.0
4.1,57081.0
4.0,55794.0
3.9,63218.0
4.1,57081.0
3.2,54445.0
5.1,66029.0
4.0,55794.0
10.5,121872.0
2.0,43525.0
8.2,113812.0
3.0,60150.0
4.0,55794.0
10.3,122391.0
7.9,101302.0
2.0,43525.0
4.0,55794.0
4.1,57081.0
9.5,116969.0
1.1,39343.0
3.9,63218.0
4.5,61111.0
5.9,81363.0
4.9,67938.0
7.9,101302.0
3.2,54445.0
5.9,81363.0
2.0,43525.0
5.9,81363.0
5.9,81363.0
4.9,67938.0
9.0,105582.0
1.5,37731.0
4.5,61111.0
